Auteur,Texte,Date
#ExcellencescientifiqueBurkinaFaso,"Excellence scientifique au Burkina Faso : des jeunes chercheurs du Centre d’Excellence en Intelligence Artificielle pour le Développement (CITADEL) à l’UV-BF remportent le 1er  prix en hackathon au  AfricaDigitalEdu 2024 à Abidjan
Du 15 au 16 octobre 2024, s'est tenu le Hackathon AfricaDigitalEdu à Abidjan, dans le cadre du colloque AfricaDigitalEdu 2024. L’objectif était de développer des solutions innovantes en lien avec le thème « Intelligence Artificielle et futurs numériques de l’apprentissage dans l’enseignement supérieur ». L’événement a réuni des talents nationaux et internationaux, dont 10 équipes ivoiriennes et une équipe burkinabè du Centre d'Excellence Interdisciplinaire en Intelligence Artificielle pour le développement (CITADEL) de l’Université Virtuelle du Burkina Faso (UV-BF). 
L'équipe burkinabè composée de Nematou KABORE etudiante en fin de cycle d'Ingénieur de l'Institut Supérieur de Génie Electrique (ISGE) et Emmanuel KIEBRE étudiant en fin de cycle de Master Informatique de l'Université Joseph KI ZERBO (UJKZ), fellows du programme d'Excellence de CITADEL, a proposé une application éducative en réalité virtuelle augmentée (RVA) pour l'enseignement de l'anatomie avec reconnaissance vocale basée sur l’Intelligence Artificielle (IA). Ce projet qui répond à la problématique selon laquelle les étudiants en médecine rencontrent des difficultés à apprendre leurs modules d'anatomie humaine, qui comporte de nombreuses structures, organes et systèmes interconnectés complexes à mémoriser, a retenu l'attention des membres du jury qui lui ont décerné le premier prix.
À cette occasion, le Président de l'UV-BF,  le Pr Jean Marie DIPAMA a tenu à féliciter, ce 22 octobre, les lauréats du premier prix du hackathon. Au cours de l'audience, le Président de l'UV-BF a tenu à souligner leur brillante performance et a réitéré l'engagement de l'Université Virtuelle du Burkina Faso (UV-BF) à continuer de former des talents essentiels pour le développement du secteur du numérique, en particulier dans l'intelligence artificielle dans notre pays. Le Pr DIPAMA a rappelé par ailleurs que l'objectif de formation dans le numérique se concrétise à travers le Centre d'Excellence Interdisciplinaire en Intelligence Artificielle pour le développement (CITADEL), un pilier de la stratégie de l'UV-BF pour soutenir l'innovation et l'excellence académique au Burkina Faso.
Il faut noter que le projet  CITADEL a formé une cinquantaine de talents locaux sur des thématiques de pointe en intelligence artificielle (IA) et offre des programmes de bourse, d’une durée de six mois, à des étudiants de fin de cycle de Master ou d'ingénieur provenant de toutes les universités (publiques, privées) du Burkina Faso dans  un environnement d'apprentissage structuré et encadré par des experts en IA dans plusieurs domaines (santé, langue locales, agriculture, sécurité, etc.), permettant aux bénéficiaires de développer des compétences de haut niveau dans le numérique.
Service communication et marketing 
#ExcellencescientifiqueBurkinaFaso
#UniversitévirtuelleBurkinaFaso
#EnseignementsuperieurnumeriqueBF
#UVBFMESRI",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%
Source #Campusfaso",01/01/2018
#UVBF,"Reportage de BF1 sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%
#Campusfaso",01/01/2018
#Université_Virtuelle," Université Virtuelle du Burkina Faso - UVBF , la rentrée c'est le 1er octobre 2024 
Le président de l'#Université_Virtuelle du Burkina Faso (UV-BF) porte à la connaissance des bacheliers, nouvellement #orientés dans les #diférentes_flières de l'UV-BF, à l'issue des sessions d'#orientation au titre de l'année 2024, que la #rentrée_académique 2024-2025 est prévue pour le mardi 1 octobre 2024.
À cet effet, différentes activités sont prévues selon le planning sivant :… En voir plus",01/01/2018
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../,"Appel a candidatures pour le recrutement sur dossier de 40 étudiants pour la troisième cohorte du Master Fouille de Donnees et Intelligence Artificielle au titre de l'année académique 2024 - 2025.
Plus d'informations sur notre site web : 
https://uv.bf/appel-a-candidatures-pour-le-recrutement.../
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
Union Vosgienne Batteries Fanfares UVBF,"[𝐒𝐭𝐚𝐠𝐞]
Retour en images sur la semaine qu’ont passé nos stagiaires au stage la BF dans tous ses états à Roville-aux-chênes 
Contenu à retrouver maintenant aussi sur notre instagram!
Union Vosgienne Batteries Fanfares UVBF
CFBF",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,Avec Université Virtuelle du Burkina Faso - UVBF – Je viens d’être reconnu(e) comme l’un(e) de ses meilleurs fans ! ,01/01/2018
#Campus,"#Campus #RAPPEL#
𝟏 𝐞́𝐭𝐮𝐝𝐢𝐚𝐧𝐭 𝟏 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫 / 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐞́ 𝐕𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 - 𝐔𝐕𝐁𝐅 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%
Abonnez-vous à Agence Des Inscriptions en Ligne .",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%",01/01/2018
https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../,"𝗨𝗻𝗶𝘃𝗲𝗿𝘀𝗶𝘁𝗲́ 𝗩𝗶𝗿𝘁𝘂𝗲𝗹𝗹𝗲 𝗕𝘂𝗿𝗸𝗶𝗻𝗮 𝗙𝗮𝘀𝗼
Formulaire de Sondage du lieu souhaité pour le retrait des puces téléphoniques afin de bénéficier de data gratuits (Mégas de connexion)
Dans le cadre de l’accompagnement des étudiants avec la connexion internet, l’Université Virtuelle du Burkina Faso (UV-BF) met à la disposition de ses étudiants des Cartes SIM ORANGE (puces téléphoniques) dédiées qui seront rechargées à hauteur de 10 Go/mois.
A cet effet, elle invite les étudiants dont les noms sont inscrits sur les listes ci-dessous à consulter les lieux de retrait indiqués sur ces listes pour le retrait des leurs Cartes SIM.
Consulter les listes sur notre site internet : https://uv.bf/formulaire-de-sondage-du-lieu-souhaite.../
Pour les étudiants qui souhaitent changer le lieu de retrait indiqué, merci de choisir la ville dans laquelle vous souhaitez retirer votre carte sim en remplissant le formulaire.
Bien vouloir remplir soigneusement le formulaire avec les bonnes informations au plus tard le 05 août 2024 à 23 h 59.
Lien du formulaire : https://forms.gle/YYUpfQ6LZhuPSeHp8
NB:
– Prière à ceux dont les noms ne figurent pas sur les listes, de pas renseigner le formulaire car ils ne seront pas pris en compte. Ces listes tiennent compte des étudiants régulièrement inscrits à l’UV-BF et qui prennent part régulièrement aux activités d’enseignement et d’évaluation.
– Ceux qui souhaitent conserver le lieu de retrait indiqué sur les listes n’ont pas besoin de remplir le formulaire
– Un programme et les lieux précis de retrait par ville vous seront communiqués dans une note d’information la semaine du 5 août 2024.
 #uvbf #campusfaso",01/01/2018
ordinateur.campusfaso.bf," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV-BF ? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en moins d'une semaine
subventionnés par l'état à 85%",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Mon université 
Est-ce que tu es fière de ton université comme moi?
Université Virtuelle du Burkina Faso - UVBF 
#leadership #opportunités",01/01/2018
#UVBF,"Retour en images sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Comment récupérer ses accès de connexion à la plateforme de l'UV-BF ?""
Chers étudiants, cette vidéo vous montre comment récupérer vos identifiants de connexion en cas d'oubli ou de perte. Suivez attentivement les instructions pour accéder facilement à votre espace personnel.
Astuce : Si vous rencontrez des difficultés pour récupérer vos accès, vérifiez toujours votre dossier ""Spam"" ou ""Courrier indésirable"" de votre boîte mail, car les messages de récupération peuvent parfois s’y trouver.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : 
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
www.uv.bf,"L’Université Virtuelle du Burkina Faso, université publique burkinabè, porte à la connaissance des nouveaux bacheliers, souhaitant s’orienter en première année de Licence, au titre de l’année académique 2024-2025, qu’elle dispose des filières de formation suivantes :
1. Pour le Programme Sciences Fondamentales, ce sont les filières :
- Mathématiques 
- Physique et Ingénierie de l’énergie
- Chimie
- Sciences de la vie et de la terre
2. Pour le Programme Sciences Transversales, ce sont les filières :
- Géomatique Appliquée,
- Lettres modernes
- Sciences Économiques et de Gestion
- Sciences Juridiques et Politiques
S’orienter à l’UV-BF, c’est bénéficier :
- d’une formation innovante et de qualité ;
- d’espaces de travail dotés d’équipements et de technologies de haute qualité ;
- d’un ordinateur subventionné à 85% ;
- d’une dotation mensuelle en connectivité internet de 10 Go.
Les orientations se font en ligne via la plateforme CAMPUS FASO dans le cadre des demandes d’orientation des bacheliers dans les universités publiques.
Deux appels à candidatures pour le Master en Intelligence Artificielle et Fouilles de Données et le Master en Sciences de l’Éducation et de la Formation sont aussi ouverts, du 14 août au 15 septembre 2024. Ces deux appels peuvent être consultés  sur le site web de l’UV-BF : www.uv.bf
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#UVBF," Rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Chers nouveaux étudiants,
L'Université Virtuelle du Burkina Faso (UV-BF) vous invite à participer à la rencontre d'accueil et d'information prévue pour demain, mardi 15 octobre 2024.
En raison du nombre de places limitées à l'Espace Numérique Ouvert (ENO) de Karpala, nous vous encourageons à suivre l'événement en ligne via notre page Facebook pour ne rien manquer de cette rencontre.
 Date : Mardi 15 octobre 2024
 Heure : 08h00 (Mise en place des étudiants 07h30)
 Lieu : ENO de Karpala et en direct sur notre page Facebook
Ne manquez pas cette opportunité pour obtenir toutes les informations nécessaires pour réussir votre année universitaire.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Participer à un forum sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=krnHItlu_XI&amp;list=PLdbqBcoIap2nvUrnX1HVpuLgaR4uhZ_x9&amp;index=13… En voir plus",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 8 : ""Les informations de profil sur la plateforme de formation de l'UV-BF.""
Lien : https://www.youtube.com/watch?v=6oKYuqrw2tE...
Chers étudiants, ce tutoriel vous explique comment configurer et mettre à jour votre profil personnel sur la plateforme de formation de l’UV-BF. Vous y découvrirez comment ajouter ou modifier vos informations, paramétrer votre photo de profil et ajuster vos préférences pour optimiser votre expérience d’apprentissage en ligne.
Astuce : Assurez-vous que toutes vos informations personnelles sont correctement renseignées, notamment votre adresse e-mail et vos coordonnées, pour être bien informé des communications importantes de l’université.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/@universitevirtuelleburkina8294
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
#UVBF,"Reportage de 3TV sur la rencontre d'accueil et d'information pour les nouveaux étudiants de l'UV-BF !
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
#UVBF #Rentrée2024 #NouveauxEtudiants #FormationEnLigne #AccueilEtInformation",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour 15 : ""Envoi d'un message sur le forum de la plateforme de formation de l'UV-BF.""
lien : https://www.youtube.com/watch?v=TMVvXelZP7E...
Chers étudiants, ce tutoriel vous montre comment rédiger et envoyer un message sur les forums de discussion de la plateforme. Vous apprendrez à choisir le bon forum, à structurer correctement votre message et à interagir efficacement avec vos enseignants et camarades de classe.
Astuce : Avant de publier un message, assurez-vous que votre question ou commentaire n'a pas déjà été posé dans la discussion. Cela évite les doublons et améliore la qualité des échanges.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF.
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
 https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifiqu," Connaissez-vous le programme Direcct (Digital Response Connecting Citizens) ? 
Il vise à renforcer les services numériques en Afrique, dans les Caraïbes et le Pacifique. Mis en oeuvre en pleine crise du Covid-19, il se déploie depuis dans 45 pays avec notre soutien et celui d’ Enabel, l’agence de coopération belge. Il cible trois secteurs essentiels : la santé, les petites et moyennes entreprises  et l’éducation.
 Avec des exemples concrets, on vous explique le succès de ce programme. 
  https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifique
#Biopama EU International Partnerships France Diplomatie Oxfam Bibliothèques Sans Frontières Expertise France Université Virtuelle du Burkina Faso - UVBF Institut de recherche pour le développement (IRD)",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Sessions d'information Facebook Live pour les nouveaux étudiants !
Chers étudiants, à l’occasion de la rentrée académique 2024-2025, l’Université Virtuelle du Burkina Faso (UV-BF) souhaite vous communiquer toutes les informations nécessaires pour démarrer l’année dans les meilleures conditions.
Nous avons le plaisir de vous annoncer l’organisation de deux sessions Facebook Live dédiées aux nouveaux étudiants, qui auront lieu :
 Le 3 octobre 2024 a partir de 14h00
 Le 10 octobre 2024 a partir de 14h00
Ces sessions seront l’occasion de répondre à vos questions et de vous présenter d'avantage l’université.
N’hésitez pas à nous rejoindre en ligne afin d'avoir toutes les informations nécessaires pour bien débuter votre parcours à l'UV-BF.",01/01/2018
#Rentrée2024,"#Rentrée2024 - UV-BF : Découvrez nos tutoriels de prise en main !
Thème du jour : ""Présentation de l'interface d'un cours sur la plateforme de formation de l'UV-BF.""
Chers étudiants, cette vidéo vous offre un tour complet de l’interface de chaque cours sur notre plateforme. Vous y découvrirez les principales sections, comment accéder aux documents, aux modules, et comment naviguer efficacement à travers les différentes ressources pédagogiques mises à votre disposition.
Astuce : Prenez le temps de vous familiariser avec chaque section du cours avant de commencer vos lectures. Cela vous permettra de mieux organiser votre apprentissage et de suivre les ressources dans l’ordre recommandé par votre enseignant.
En rappel, les accès seront bientôt disponibles et une communication spécifique sera faite pour vous en informer. En attendant, ce tutoriel vous aidera à être prêt dès que les identifiants vous seront envoyés.
Vous trouverez plus de tutoriels vidéo sur la chaîne YouTube de l'UV-BF à travers ce lien : https://www.youtube.com/watch?v=5J1dOLpAiiw...
Ensemble, maîtrisons la plateforme pour réussir cette année académique.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !",01/01/2018
